          18
 Energy:  -72.1725937000000     
 X   14.50000      0.0000000E+00   14.50000    
 X  0.0000000E+00   14.50000       14.50000    
 X   14.50000       14.50000       14.50000    
 N  -9.7099999E-03  2.6999999E-04 -8.6899996E-03
 N    1.107210     -5.8700000E-03 -8.2799997E-03
 N   0.4997900       13.93719       2.008590    
 N   0.4996400      0.5627500       2.008560    
 N    2.003320       1.841890      1.8000000E-04
 N    1.999660       2.954510     -1.9400000E-03
 N    2.000050       5.006130     -6.1110001E-02
 N    2.000060       5.003280       1.062780    
 N    1.937700       2.999930       4.999960    
 N    3.062270       2.999940       4.999940    
          18
 Energy:  -78.5649681000000     
 X  0.0000000E+00  0.0000000E+00  0.0000000E+00
 X   14.50000      0.0000000E+00  0.0000000E+00
 X  0.0000000E+00   14.50000      0.0000000E+00
 X  0.0000000E+00  0.0000000E+00   14.50000    
 X   14.50000       14.50000      0.0000000E+00
 X   14.50000      0.0000000E+00   14.50000    
 X  0.0000000E+00   14.50000       14.50000    
 X   14.50000       14.50000       14.50000    
 N  -2.6419999E-02  1.4700000E-03 -3.7749998E-02
 N    1.113400     -2.9560000E-02 -3.6610000E-02
 N   0.4992400       13.93336       2.037480    
 N   0.4981700      0.5663100       2.037530    
 N    2.017310       1.842560      1.5200000E-03
 N    1.997950       2.938740     -1.1270000E-02
 N    2.000250       5.029580     -5.9269998E-02
 N    2.000280       5.017990       1.068810    
 N    1.937020       2.999740       4.999800    
 N    3.062810       2.999800       4.999760    
          18
 Energy:  -79.0890539000000     
 X  0.0000000E+00  0.0000000E+00  0.0000000E+00
 X   14.50000      0.0000000E+00  0.0000000E+00
 X  0.0000000E+00   14.50000      0.0000000E+00
 X  0.0000000E+00  0.0000000E+00   14.50000    
 X   14.50000       14.50000      0.0000000E+00
 X   14.50000      0.0000000E+00   14.50000    
 X  0.0000000E+00   14.50000       14.50000    
 X   14.50000       14.50000       14.50000    
 N  -6.6990003E-02  4.3899999E-03 -0.1082800    
 N    1.128420     -8.7070003E-02 -0.1053700    
 N   0.4979000       13.92407       2.107600    
 N   0.4945900      0.5749800       2.107860    
 N    2.051290       1.844200      4.7599999E-03
 N    1.993790       2.900460     -3.3920001E-02
 N    2.000720       5.086510     -5.4820001E-02
 N    2.000810       5.053710       1.083450    
 N    1.935360       2.999300       4.999420    
 N    3.064110       2.999460       4.999300    
          18
 Energy:  -79.2643527000000     
 X  0.0000000E+00  0.0000000E+00  0.0000000E+00
 X   14.50000      0.0000000E+00  0.0000000E+00
 X  0.0000000E+00   14.50000      0.0000000E+00
 X  0.0000000E+00  0.0000000E+00   14.50000    
 X   14.50000       14.50000      0.0000000E+00
 X   14.50000      0.0000000E+00   14.50000    
 X  0.0000000E+00   14.50000       14.50000    
 X   14.50000       14.50000       14.50000    
 N  -6.7979999E-02  4.4100001E-03 -0.1170500    
 N    1.126060     -9.4169997E-02 -0.1140300    
 N   0.4977200       13.92470       2.116360    
 N   0.4941500      0.5742800       2.116610    
 N    2.056040       1.839360      5.4700002E-03
 N    1.992910       2.900670     -3.7069999E-02
 N    2.000800       5.093790     -5.3070001E-02
 N    2.000880       5.058310       1.084180    
 N    1.935600       2.999240       4.999370    
 N    3.063830       2.999410       4.999240    
          18
 Energy:  -79.7267991000000     
 X  0.0000000E+00  0.0000000E+00  0.0000000E+00
 X   14.50000      0.0000000E+00  0.0000000E+00
 X  0.0000000E+00   14.50000      0.0000000E+00
 X  0.0000000E+00  0.0000000E+00   14.50000    
 X   14.50000       14.50000      0.0000000E+00
 X   14.50000      0.0000000E+00   14.50000    
 X  0.0000000E+00   14.50000       14.50000    
